"Notes","Census Division","Census Division Code","Year","Year Code","Month","Month Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","2006","2006","May, 2006","2006/05","Male","M",110,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jun., 2006","2006/06","Female","F",65,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jun., 2006","2006/06","Male","M",112,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jul., 2006","2006/07","Female","F",64,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Jul., 2006","2006/07","Male","M",132,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Aug., 2006","2006/08","Female","F",66,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Aug., 2006","2006/08","Male","M",125,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Sep., 2006","2006/09","Female","F",53,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Sep., 2006","2006/09","Male","M",112,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Oct., 2006","2006/10","Female","F",51,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Oct., 2006","2006/10","Male","M",101,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Nov., 2006","2006/11","Female","F",58,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Nov., 2006","2006/11","Male","M",107,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Dec., 2006","2006/12","Female","F",53,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2006","2006","Dec., 2006","2006/12","Male","M",125,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jan., 2007","2007/01","Female","F",69,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jan., 2007","2007/01","Male","M",101,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Feb., 2007","2007/02","Female","F",59,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Feb., 2007","2007/02","Male","M",112,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Mar., 2007","2007/03","Female","F",65,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Mar., 2007","2007/03","Male","M",111,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Apr., 2007","2007/04","Female","F",61,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Apr., 2007","2007/04","Male","M",133,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","May, 2007","2007/05","Female","F",65,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","May, 2007","2007/05","Male","M",109,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jun., 2007","2007/06","Female","F",51,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jun., 2007","2007/06","Male","M",108,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jul., 2007","2007/07","Female","F",55,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Jul., 2007","2007/07","Male","M",119,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Aug., 2007","2007/08","Female","F",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Aug., 2007","2007/08","Male","M",97,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Sep., 2007","2007/09","Female","F",42,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Sep., 2007","2007/09","Male","M",103,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Oct., 2007","2007/10","Female","F",57,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Oct., 2007","2007/10","Male","M",103,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Nov., 2007","2007/11","Female","F",55,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Nov., 2007","2007/11","Male","M",94,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Dec., 2007","2007/12","Female","F",67,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2007","2007","Dec., 2007","2007/12","Male","M",87,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jan., 2008","2008/01","Female","F",48,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jan., 2008","2008/01","Male","M",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Feb., 2008","2008/02","Female","F",49,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Feb., 2008","2008/02","Male","M",109,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Mar., 2008","2008/03","Female","F",62,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Mar., 2008","2008/03","Male","M",113,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Apr., 2008","2008/04","Female","F",53,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Apr., 2008","2008/04","Male","M",77,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","May, 2008","2008/05","Female","F",49,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","May, 2008","2008/05","Male","M",131,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jun., 2008","2008/06","Female","F",44,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jun., 2008","2008/06","Male","M",96,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jul., 2008","2008/07","Female","F",68,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Jul., 2008","2008/07","Male","M",92,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Aug., 2008","2008/08","Female","F",51,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Aug., 2008","2008/08","Male","M",97,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Sep., 2008","2008/09","Female","F",46,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Sep., 2008","2008/09","Male","M",88,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Oct., 2008","2008/10","Female","F",55,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Oct., 2008","2008/10","Male","M",100,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Nov., 2008","2008/11","Female","F",54,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Nov., 2008","2008/11","Male","M",90,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Dec., 2008","2008/12","Female","F",47,Not Applicable,Not Applicable
,"Division 1: New England","CENS-D1","2008","2008","Dec., 2008","2008/12","Male","M",86,Not Applicable,Not Applicable
