"Notes","Census Region","Census Region Code","Year","Year Code","Month","Month Code","Single-Year Ages","Single-Year Ages Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","79 years","79",1339,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","80 years","80",1388,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","81 years","81",1446,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","82 years","82",1538,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","83 years","83",1476,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","84 years","84",1501,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","85 years","85",1453,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","86 years","86",1398,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","87 years","87",1262,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","88 years","88",1281,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","89 years","89",1207,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","90 years","90",1129,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","91 years","91",1082,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","92 years","92",933,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","93 years","93",808,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","94 years","94",654,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","95 years","95",558,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","96 years","96",442,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","97 years","97",335,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","98 years","98",301,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","99 years","99",191,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","100+ years","100",404,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Feb., 1999","1999/02","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","< 1 year","0",367,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","1 year","1",21,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","2 years","2",15,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","3 years","3",13,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","4 years","4",11,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","5 years","5",13,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","6 years","6",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","7 years","7",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","8 years","8",13,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","9 years","9",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","10 years","10",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","11 years","11",Suppressed,Not Applicable,Not Applicable
,"Census Region 1: Northeast","CENS-R1","1999","1999","Mar., 1999","1999/03","12 years","12",Suppressed,Not Applicable,Not Applicable
