Notes,Census Region,Census Region Code,Year,Year Code,Month,Month Code,Five-Year Age Groups,Five-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,15-19 years,15-19,Female,F,49,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,15-19 years,15-19,Male,M,85,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,20-24 years,20-24,Female,F,62,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,20-24 years,20-24,Male,M,157,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,25-29 years,25-29,Female,F,69,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,25-29 years,25-29,Male,M,152,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,30-34 years,30-34,Female,F,95,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,30-34 years,30-34,Male,M,208,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,35-39 years,35-39,Female,F,195,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,35-39 years,35-39,Male,M,284,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,40-44 years,40-44,Female,F,258,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,40-44 years,40-44,Male,M,469,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,45-49 years,45-49,Female,F,361,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,45-49 years,45-49,Male,M,602,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,50-54 years,50-54,Female,F,500,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Nov., 1999",1999/11,50-54 years,50-54,Male,M,780,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,15-19 years,15-19,Female,F,45,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,15-19 years,15-19,Male,M,103,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,20-24 years,20-24,Female,F,70,Not Applicable,Not Applicable
,Census Region 1: Northeast,CENS-R1,1999,1999,"Dec., 1999",1999/12,20-24 years,20-24,Male,M,146,Not Applicable,Not Applicable
