"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"South","Female",40,"40-44",2016,983,12,3854208,0.000255045913453555,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",40,"40-44",2017,1004,12,3839455,0.000261495446619377,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",40,"40-44",2018,970,12,3857380,0.00025146602097797,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",40,"40-44",2019,975,12,3905854,0.000249625306015023,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",45,"45-49",2005,867,12,4083357,0.000212325299992139,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",45,"45-49",2006,951,12,4156301,0.000228809222431195,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",45,"45-49",2007,1040,12,4194310,0.000247954967563199,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",45,"45-49",2008,1118,12,4228586,0.000264390980814863,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",45,"45-49",2009,1153,12,4264572,0.000270367108352257,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",45,"45-49",2010,1068,12,4250120,0.000251287022484071,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",45,"45-49",2011,1157,12,4178539,0.000276891037752669,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",45,"45-49",2012,1117,12,4104244,0.000272157308386149,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",45,"45-49",2013,1009,12,4023953,0.000250748455560987,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",45,"45-49",2014,1008,12,3961495,0.000254449393473928,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",45,"45-49",2015,1037,12,3969096,0.000261268560901525,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",45,"45-49",2016,1122,12,4032754,0.000278221780946718,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",45,"45-49",2017,1163,12,4070669,0.000285702423852197,110.532651392005,-1.44676045252743,0.103453677669997,123542189
