"Notes","Single-Year Ages","Single-Year Ages Code","Census Region","Census Region Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"53 years","53","Census Region 1: Northeast","CENS-R1",3465,804689,430.6,416.3,444.9,7.3
,"53 years","53","Census Region 2: Midwest","CENS-R2",4772,903444,528.2,513.2,543.2,7.6
,"53 years","53","Census Region 3: South","CENS-R3",9636,1647589,584.9,573.2,596.5,6.0
,"53 years","53","Census Region 4: West","CENS-R4",4240,977653,433.7,420.6,446.7,6.7
,"54 years","54","Census Region 1: Northeast","CENS-R1",3925,813135,482.7,467.6,497.8,7.7
,"54 years","54","Census Region 2: Midwest","CENS-R2",5318,929098,572.4,557.0,587.8,7.8
,"54 years","54","Census Region 3: South","CENS-R3",10941,1674135,653.5,641.3,665.8,6.2
,"54 years","54","Census Region 4: West","CENS-R4",4797,989199,484.9,471.2,498.7,7.0
,"55 years","55","Census Region 1: Northeast","CENS-R1",4285,807173,530.9,515.0,546.8,8.1
,"55 years","55","Census Region 2: Midwest","CENS-R2",5977,935166,639.1,622.9,655.3,8.3
,"55 years","55","Census Region 3: South","CENS-R3",11828,1660809,712.2,699.3,725.0,6.5
,"55 years","55","Census Region 4: West","CENS-R4",5220,990835,526.8,512.5,541.1,7.3
,"56 years","56","Census Region 1: Northeast","CENS-R1",4708,800837,587.9,571.1,604.7,8.6
,"56 years","56","Census Region 2: Midwest","CENS-R2",6500,942351,689.8,673.0,706.5,8.6
,"56 years","56","Census Region 3: South","CENS-R3",12788,1647590,776.2,762.7,789.6,6.9
,"56 years","56","Census Region 4: West","CENS-R4",5861,986352,594.2,579.0,609.4,7.8
,"57 years","57","Census Region 1: Northeast","CENS-R1",5171,812209,636.7,619.3,654.0,8.9
,"57 years","57","Census Region 2: Midwest","CENS-R2",7048,962334,732.4,715.3,749.5,8.7
,"57 years","57","Census Region 3: South","CENS-R3",14056,1654145,849.7,835.7,863.8,7.2
,"57 years","57","Census Region 4: West","CENS-R4",6268,994122,630.5,614.9,646.1,8.0
,"58 years","58","Census Region 1: Northeast","CENS-R1",5407,818536,660.6,643.0,678.2,9.0
,"58 years","58","Census Region 2: Midwest","CENS-R2",7710,966190,798.0,780.2,815.8,9.1
,"58 years","58","Census Region 3: South","CENS-R3",14976,1660245,902.0,887.6,916.5,7.4
,"58 years","58","Census Region 4: West","CENS-R4",6518,1008067,646.6,630.9,662.3,8.0
,"59 years","59","Census Region 1: Northeast","CENS-R1",5748,794191,723.8,705.0,742.5,9.5
,"59 years","59","Census Region 2: Midwest","CENS-R2",8240,940053,876.5,857.6,895.5,9.7
,"59 years","59","Census Region 3: South","CENS-R3",15676,1597795,981.1,965.7,996.5,7.8
,"59 years","59","Census Region 4: West","CENS-R4",6978,961985,725.4,708.4,742.4,8.7
,"60 years","60","Census Region 1: Northeast","CENS-R1",6064,787612,769.9,750.5,789.3,9.9
,"60 years","60","Census Region 2: Midwest","CENS-R2",8732,938135,930.8,911.3,950.3,10.0
,"60 years","60","Census Region 3: South","CENS-R3",16402,1578677,1039.0,1023.1,1054.9,8.1
,"60 years","60","Census Region 4: West","CENS-R4",7503,954937,785.7,767.9,803.5,9.1
,"61 years","61","Census Region 1: Northeast","CENS-R1",6302,771285,817.1,796.9,837.3,10.3
,"61 years","61","Census Region 2: Midwest","CENS-R2",9295,924544,1005.4,984.9,1025.8,10.4
,"61 years","61","Census Region 3: South","CENS-R3",17624,1562573,1127.9,1111.2,1144.5,8.5
,"61 years","61","Census Region 4: West","CENS-R4",8071,944492,854.5,835.9,873.2,9.5
,"62 years","62","Census Region 1: Northeast","CENS-R1",6687,737934,906.2,884.5,927.9,11.1
,"62 years","62","Census Region 2: Midwest","CENS-R2",9609,885563,1085.1,1063.4,1106.8,11.1
,"62 years","62","Census Region 3: South","CENS-R3",18204,1505971,1208.8,1191.2,1226.3,9.0
,"62 years","62","Census Region 4: West","CENS-R4",8334,913928,911.9,892.3,931.5,10.0
,"63 years","63","Census Region 1: Northeast","CENS-R1",7121,727150,979.3,956.6,1002.0,11.6
,"63 years","63","Census Region 2: Midwest","CENS-R2",10136,874133,1159.5,1137.0,1182.1,11.5
,"63 years","63","Census Region 3: South","CENS-R3",19012,1489800,1276.1,1258.0,1294.3,9.3
,"63 years","63","Census Region 4: West","CENS-R4",8826,909152,970.8,950.5,991.0,10.3
,"64 years","64","Census Region 1: Northeast","CENS-R1",7071,687945,1027.8,1003.9,1051.8,12.2
,"64 years","64","Census Region 2: Midwest","CENS-R2",10388,835013,1244.1,1220.1,1268.0,12.2
,"64 years","64","Census Region 3: South","CENS-R3",19577,1430935,1368.1,1349.0,1387.3,9.8
,"64 years","64","Census Region 4: West","CENS-R4",8915,871872,1022.5,1001.3,1043.7,10.8
,"65 years","65","Census Region 1: Northeast","CENS-R1",7469,657827,1135.4,1109.7,1161.2,13.1
,"65 years","65","Census Region 2: Midwest","CENS-R2",10678,798230,1337.7,1312.3,1363.1,12.9
,"65 years","65","Census Region 3: South","CENS-R3",19757,1373445,1438.5,1418.4,1458.6,10.2
,"65 years","65","Census Region 4: West","CENS-R4",9353,840098,1113.3,1090.8,1135.9,11.5
,"66 years","66","Census Region 1: Northeast","CENS-R1",7647,626968,1219.7,1192.3,1247.0,13.9
,"66 years","66","Census Region 2: Midwest","CENS-R2",11056,769632,1436.5,1409.8,1463.3,13.7
,"66 years","66","Census Region 3: South","CENS-R3",20209,1319274,1531.8,1510.7,1552.9,10.8
,"66 years","66","Census Region 4: West","CENS-R4",9730,800562,1215.4,1191.2,1239.5,12.3
,"67 years","67","Census Region 1: Northeast","CENS-R1",7843,603305,1300.0,1271.2,1328.8,14.7
,"67 years","67","Census Region 2: Midwest","CENS-R2",11314,738010,1533.0,1504.8,1561.3,14.4
,"67 years","67","Census Region 3: South","CENS-R3",20809,1284928,1619.5,1597.5,1641.5,11.2
,"67 years","67","Census Region 4: West","CENS-R4",9891,772512,1280.4,1255.1,1305.6,12.9
,"68 years","68","Census Region 1: Northeast","CENS-R1",7933,585595,1354.7,1324.9,1384.5,15.2
,"68 years","68","Census Region 2: Midwest","CENS-R2",11420,707209,1614.8,1585.2,1644.4,15.1
,"68 years","68","Census Region 3: South","CENS-R3",21555,1254041,1718.8,1695.9,1741.8,11.7
,"68 years","68","Census Region 4: West","CENS-R4",10199,760988,1340.2,1314.2,1366.2,13.3
,"69 years","69","Census Region 1: Northeast","CENS-R1",8575,564419,1519.3,1487.1,1551.4,16.4
,"69 years","69","Census Region 2: Midwest","CENS-R2",12170,679857,1790.1,1758.3,1821.9,16.2
,"69 years","69","Census Region 3: South","CENS-R3",22881,1222265,1872.0,1847.8,1896.3,12.4
