"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"60-64 years ","60-64","2000","2000",107,10805447,1.0,0.8,1.2,0.1
,"60-64 years ","60-64","2001","2001",155,11136320,1.4,1.2,1.6,0.1
,"60-64 years ","60-64","2002","2002",191,11560265,1.7,1.4,1.9,0.1
,"60-64 years ","60-64","2003","2003",228,12194388,1.9,1.6,2.1,0.1
,"60-64 years ","60-64","2004","2004",280,12698128,2.2,1.9,2.5,0.1
,"60-64 years ","60-64","2005","2005",337,13138277,2.6,2.3,2.8,0.1
,"60-64 years ","60-64","2006","2006",361,13533253,2.7,2.4,2.9,0.1
,"60-64 years ","60-64","2007","2007",481,14673662,3.3,3.0,3.6,0.1
,"60-64 years ","60-64","2008","2008",582,15342495,3.8,3.5,4.1,0.2
,"60-64 years ","60-64","2009","2009",774,16124997,4.8,4.5,5.1,0.2
,"60-64 years ","60-64","2010","2010",860,16817924,5.1,4.8,5.5,0.2
,"60-64 years ","60-64","2011","2011",914,17806592,5.1,4.8,5.5,0.2
,"60-64 years ","60-64","2012","2012",1025,17813685,5.8,5.4,6.1,0.2
,"60-64 years ","60-64","2013","2013",1319,18122001,7.3,6.9,7.7,0.2
,"60-64 years ","60-64","2014","2014",1477,18566132,8.0,7.5,8.4,0.2
,"60-64 years ","60-64","2015","2015",1779,19069877,9.3,8.9,9.8,0.2
,"60-64 years ","60-64","2016","2016",2256,19483036,11.6,11.1,12.1,0.2
,"60-64 years ","60-64","2017","2017",2630,19987702,13.2,12.7,13.7,0.3
,"60-64 years ","60-64","2018","2018",2841,20331651,14.0,13.5,14.5,0.3
,"60-64 years ","60-64","2019","2019",3176,20571146,15.4,14.9,16.0,0.3
,"60-64 years ","60-64","2020","2020",4233,20800578,20.4,19.7,21.0,0.3
,"65-69 years","65-69","1999","1999",63,9541498,0.7,0.5,0.8,0.1
,"65-69 years","65-69","2000","2000",53,9533545,0.6,0.4,0.7,0.1
,"65-69 years","65-69","2001","2001",60,9562233,0.6,0.5,0.8,0.1
,"65-69 years","65-69","2002","2002",106,9638481,1.1,0.9,1.3,0.1
,"65-69 years","65-69","2003","2003",113,9830796,1.1,0.9,1.4,0.1
,"65-69 years","65-69","2004","2004",123,10073429,1.2,1.0,1.4,0.1
,"65-69 years","65-69","2005","2005",156,10278627,1.5,1.3,1.8,0.1
,"65-69 years","65-69","2006","2006",160,10553201,1.5,1.3,1.8,0.1
,"65-69 years","65-69","2007","2007",183,10970235,1.7,1.4,1.9,0.1
,"65-69 years","65-69","2008","2008",244,11594347,2.1,1.8,2.4,0.1
,"65-69 years","65-69","2009","2009",276,12092377,2.3,2.0,2.6,0.1
